Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
9072735.76610678,7183518.0668185,11395443.3393077,6333492.70236466,12829170.5909329
7731631.19452425,6095282.96416805,9751051.09758798,5361280.27069308,11000973.2738901
6662621.78042911,5230950.95434444,8435806.78812662,4590627.57379016,9536172.27147887
6005530.72543706,4700832.8497094,7625719.3953466,4118546.67689118,8633055.80008311
5671327.99515302,4431064.42412041,7213978.40815167,3878257.58898808,8174218.3365286
7358019.80856928,5785456.62825599,9303198.0351095,5081382.3649801,10509173.0765244
7751644.22679037,6100889.21649842,9791808.08758343,5361297.06618873,11055896.9039114
9309851.42070587,7358432.81256428,11712684.1849247,6481502.51471671,13197502.1152495
8558821.50928101,6748361.02440103,10792836.9728865,5936176.73727801,12175459.6037303
6416035.92266998,5020103.40431326,8150139.0850742,4397279.71591137,9228578.06102253
5589924.64879384,4356484.27735359,7127459.28654329,3807698.83943991,8086030.17610368
7040548.15262762,5518105.20627036,8929009.25121887,4838018.25469612,10102188.7816014
